disease,symptoms
Fungal infection,itching skin rash nodal skin eruptions dischromic patches 
Allergy,continuous sneezing shivering chills watering from eyes 
GERD,stomach pain acidity ulcers on tongue vomiting cough chest pain 
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes 
Drug Reaction,itching skin rash stomach pain burning micturition spotting urination 
Peptic ulcer diseae,vomiting loss of appetite abdominal pain passage of gases internal itching 
AIDS,muscle wasting patches in throat high fever extra marital contacts 
Diabetes ,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria 
Gastroenteritis,vomiting sunken eyes dehydration diarrhoea 
Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum 
Hypertension ,headache chest pain dizziness loss of balance lack of concentration 
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances 
Cervical spondylosis,back pain weakness in limbs neck pain dizziness loss of balance 
Paralysis (brain hemorrhage),vomiting headache weakness of one body side altered sensorium 
Jaundice,itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain 
Malaria,chills vomiting high fever sweating headache nausea muscle pain 
Chicken pox,itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body 
Dengue,skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain muscle pain red spots over body 
Typhoid,chills vomiting fatigue high fever nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain 
hepatitis A,joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain 
Hepatitis B,itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections 
Hepatitis C,fatigue yellowish skin nausea loss of appetite family history 
Hepatitis D,joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes 
Hepatitis E,joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes coma stomach bleeding 
Alcoholic hepatitis,vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload 
Tuberculosis,chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum 
Common Cold,continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain 
Pneumonia,chills fatigue cough high fever breathlessness sweating malaise chest pain fast heart rate rusty sputum 
Dimorphic hemmorhoids(piles),constipation pain during bowel movements pain in anal region bloody stool irritation in anus 
Heart attack,vomiting breathlessness sweating chest pain 
Varicose veins,fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf 
Hypothyroidism,fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation 
Hyperthyroidism,fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation 
Hypoglycemia,vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger slurred speech irritability palpitations 
Osteoarthristis,joint pain neck pain knee pain hip joint pain swelling joints painful walking 
Arthritis,muscle weakness stiff neck swelling joints movement stiffness painful walking 
(vertigo) Paroymsal  Positional Vertigo,vomiting headache nausea spinning movements loss of balance unsteadiness 
Acne,skin rash pus filled pimples blackheads scurring 
Urinary tract infection,burning micturition bladder discomfort foul smell of urine continuous feel of urine 
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails 
Impetigo,skin rash high fever blister red sore around nose yellow crust ooze 
Panic disorder,Anxiety and nervousness Depression Shortness of breath Depressive or psychotic symptoms Sharp chest pain Dizziness Insomnia Abnormal involuntary movements Chest tightness Palpitations Irregular heartbeat Breathing fast 
Vocal cord polyp,Hoarse voice Sore throat Difficulty speaking Cough Nasal congestion Throat swelling Diminished hearing Lump in throat Throat feels tight Difficulty in swallowing Skin swelling Retention of urine 
Turner syndrome,Groin mass Leg pain Hip pain Suprapubic pain Blood in stool Lack of growth Diminished hearing Depression Emotional symptoms Elbow weakness Back weakness Pus in sputum 
Cryptorchidism,Symptoms of the scrotum and testes Swelling of scrotum Pain in testicles Flatulence Pus draining from ear Jaundice Mass in scrotum Lack of growth White discharge from eye Irritable infant 
Poisoning due to ethylene glycol,Abusing alcohol Fainting Hostile behavior Drug abuse Depressive or psychotic symptoms Sharp abdominal pain Feeling ill Vomiting Headache Depression Nausea Diarrhea 
Atrophic vaginitis,Vaginal itching Vaginal dryness Painful urination Involuntary urination Pain during intercourse Frequent urination Lower abdominal pain Suprapubic pain Vaginal discharge Blood in urine Hot flashes Intermenstrual bleeding 
Fracture of the hand,Hand or finger pain Wrist pain Hand or finger swelling Arm pain Wrist swelling Arm stiffness or tightness Arm swelling Hand or finger stiffness or tightness Wrist stiffness or tightness 
Cellulitis or abscess of mouth,Lip swelling Sore throat Toothache Abnormal appearing skin Skin lesion Difficulty in swallowing Acne or pimples Dry lips Facial pain Mouth ulcer Throat swelling Skin growth 
Eye alignment disorder,Eye deviation Diminished vision Double vision Cross-eyed Symptoms of eye Pain in eye Eye moves abnormally Abnormal movement of eyelid Foreign body sensation in eye Lack of growth Irregular appearing scalp Swollen lymph nodes 
Headache after lumbar puncture,Headache Nausea Back pain Vomiting Dizziness Neck pain Low back pain Pain of the anus Pain during pregnancy Painful urination Pelvic pain Impotence 
Pyloric stenosis,Vomiting Sharp abdominal pain Infant spitting up Vomiting blood Cough Arm stiffness or tightness Regurgitation Burning abdominal pain Restlessness Pain during pregnancy Symptoms of infants Wheezing 
Salivary gland disorder,Sore throat Peripheral edema Neck mass Ear pain Swollen lymph nodes Throat feels tight Facial pain Skin swelling Jaw swelling Cough Mouth dryness Neck swelling 
Osteochondrosis,Knee pain Foot or toe pain Bowlegged or knock-kneed Ankle pain Bones are painful Knee weakness Hand or finger pain Elbow pain Knee swelling Skin moles Knee lump or mass Weight gain 
Injury to the knee,Knee pain Knee swelling Leg pain Problems with movement Knee stiffness or tightness Leg swelling Knee weakness Foot or toe swelling Heartburn Smoking problems 
Metabolic disorder,Weight gain Jaundice Mouth dryness Muscle pain Smoking problems Infant feeding problem Recent weight loss Problems with shape or size of breast Arm stiffness or tightness Underweight Difficulty eating Scanty menstrual flow 
Vaginitis,Vaginal discharge Vaginal itching Sharp abdominal pain Painful urination Vaginal pain Lower abdominal pain Pelvic pain Vaginal redness Suprapubic pain Pain during pregnancy Vulvar irritation Pain during intercourse 
Sick sinus syndrome,Dizziness Sharp chest pain Shortness of breath Palpitations Fainting Weakness Irregular heartbeat Decreased heart rate Increased heart rate Bleeding or discharge from nipple 
Tinnitus of unknown cause,Ringing in ear Diminished hearing Dizziness Ear pain Headache Plugged feeling in ear Itchy ear(s) Frontal headache Symptoms of eye Hoarse voice Fluid in ear Neck stiffness or tightness 
Glaucoma,Diminished vision Pain in eye Symptoms of eye Spots or clouds in vision Eye redness Lacrimation Itchiness of eye Blindness Eye burns or stings Foreign body sensation in eye Itchy eyelid Feeling cold 
Eating disorder,Depression Anxiety and nervousness Depressive or psychotic symptoms Decreased appetite Abusing alcohol Excessive appetite Difficulty eating Weight gain Excessive anger Insomnia Vomiting blood Acne or pimples 
Transient ischemic attack,Loss of sensation Dizziness Headache Weakness Focal weakness Slurring words Difficulty speaking Symptoms of the face Depressive or psychotic symptoms Diminished vision Disturbance of memory Paresthesia 
Pyelonephritis,Side pain Fever Sharp abdominal pain Back pain Vomiting Nausea Painful urination Low back pain Lower abdominal pain Blood in urine Suprapubic pain Frequent urination 
Rotator cuff injury,Shoulder pain Arm pain Shoulder stiffness or tightness Shoulder weakness Arm cramps or spasms Arm stiffness or tightness Neck stiffness or tightness Hand or finger stiffness or tightness Shoulder swelling Tongue lesions Leg cramps or spasms Abnormal appearing tongue 
Chronic pain disorder,Back pain Low back pain Ache all over Leg pain Neck pain Headache Sharp abdominal pain Shoulder pain Knee pain Hip pain Pelvic pain Lower body pain 
Problem during pregnancy,Sharp abdominal pain Pain during pregnancy Problems during pregnancy Lower abdominal pain Spotting or bleeding during pregnancy Nausea Headache Back pain Vomiting Burning abdominal pain Pelvic pain Cramps and spasms 
Liver cancer,Sharp abdominal pain Upper abdominal pain Stomach bloating Changes in stool appearance Decreased appetite Unusual color or odor to urine Increased heart rate Kidney mass Swollen abdomen Symptoms of prostate Leg stiffness or tightness Groin mass 
Atelectasis,Cough Shortness of breath Sharp chest pain Fever Nasal congestion Dizziness Sore throat Sharp abdominal pain Difficulty breathing Rib pain Ache all over Headache 
Injury to the hand,Hand or finger pain Hand or finger swelling Wrist pain Hand or finger stiffness or tightness Joint pain Skin growth Muscle stiffness or tightness Pallor Focal weakness Symptoms of the face Wrist swelling Hand or finger lump or mass 
Choledocholithiasis,Sharp abdominal pain Upper abdominal pain Vomiting Nausea Sharp chest pain Back pain Diarrhea Jaundice Side pain Chills Unusual color or odor to urine Decreased appetite 
Injury to the hip,Hip pain Leg pain Neck pain Groin pain Lower body pain Hand or finger swelling Peripheral edema Leg swelling Problems with movement 
Cirrhosis,Sharp abdominal pain Shortness of breath Peripheral edema Fatigue Upper abdominal pain Abdominal distention Stomach bloating Blood in stool Regurgitation Symptoms of the kidneys Vomiting blood Melena 
Thoracic aortic aneurysm,Sharp chest pain Dizziness Back pain Shortness of breath Sharp abdominal pain Fatigue Chest tightness Unusual color or odor to urine Flushing Leg cramps or spasms Coughing up sputum Jaundice 
Subdural hemorrhage,Headache Dizziness Problems with movement Depressive or psychotic symptoms Seizures Vomiting Facial pain Disturbance of memory Irritable infant Abnormal movement of eyelid Hostile behavior Delusions or hallucinations 
Congenital rubella,Pain in eye Shoulder cramps or spasms Facial pain Ankle pain Wrist pain Pain during pregnancy Excessive anger Joint stiffness or tightness Pain or soreness of breast Knee lump or mass Fatigue Excessive urination at night 
Diabetic retinopathy,Diminished vision Spots or clouds in vision Pain in eye Lacrimation Symptoms of eye Eye redness Foreign body sensation in eye Itchiness of eye Blindness Bleeding from eye Abnormal movement of eyelid Double vision 
Fibromyalgia,Back pain Ache all over Neck pain Muscle pain Leg pain Headache Shoulder pain Low back pain Sharp chest pain Arm pain Hip pain Fatigue 
