disease,medication
Fungal infection,"Memantine HCl, Pegfilgrastim, Sirolimus, "
Allergy,"Aflibercept, Metformin HCl, Bendamustine HCl, Pregabalin, Enzalutamide, Paliperidone Palmitate, "
GERD,"Albuterol Sulfate, Paclitaxel Protein-Bound, Abiraterone Acetate, Formoterol Fumarate, Bexarotene, Teriparatide, "
Chronic cholestasis,"Denosumab, Doxazosin Mesylate, Infliximab, Duloxetine HCl, Bevacizumab, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Drug Reaction,"Esomeprazole Magnesium, Fluticasone Salmeterol, "
Peptic ulcer diseae,"Aminolevulinic Acid HCl, Captopril, Ursodiol, Imatinib Mesylate, Rituximab, "
AIDS,"Albuterol Sulfate, Bortezomib, "
Diabetes ,"Glucagon,human Recombinant, Diclofenac Sodium, Gemcitabine HCl, "
Gastroenteritis,"Diclofenac Sodium, Enzalutamide, Hydroxychloroquine Sulfate, Bupropion HCl, Alteplase, Immun Glob G(IGG) Pro Iga 0-50, "
Bronchial Asthma,"Alteplase, Rituximab, "
Hypertension ,"Methylprednisolone Acetate (40 mg), Denosumab, Thyrotropin Alfa, Rituximab, Immun Glob G(IGG) Pro Iga 0-50, "
Migraine,"Aripiprazole, Aflibercept, "
Cervical spondylosis,"Fulvestrant, Esomeprazole Magnesium, Alteplase, Enzalutamide, Everolimus, "
Paralysis (brain hemorrhage),"Bevacizumab, Sitagliptin Phosphate, Emtricitabine Tenofovir, Sipuleucel-T Lactated Ringers, "
Jaundice,"Azacitidine, Abiraterone Acetate, Rivaroxaban, Insulin Glargine,Hum.Rec.Anlog, Pemetrexed Disodium, "
Malaria,"Paclitaxel Protein-Bound, Adalimumab, "
Chicken pox,"Immun Glob G (IGG) Gly Iga 50+, Metformin HCl, Glatiramer Acetate, Trastuzumab, "
Dengue,"Azacitidine, Rivaroxaban, Propranolol HCl, Tiotropium Bromide, Pregabalin, "
Typhoid,"Adalimumab, Captopril, "
hepatitis A,"Efavirenz Emtricitab Tenofovir, Fluticasone Salmeterol, "
Hepatitis B,"Clobetasol Propionate, Adalimumab, Rosuvastatin Calcium, Ibrutinib, "
Hepatitis C,"Doxazosin Mesylate, Corticotropin, Aminolevulinic Acid HCl, Infliximab, "
Hepatitis D,"Glatiramer Acetate, Darunavir Ethanolate, Ambrisentan, Emtricitabine Tenofovir, Paliperidone Palmitate, "
Hepatitis E,"Digoxin, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Emtricitabine Tenofovir, Aminolevulinic Acid HCl, Lenalidomide, "
Alcoholic hepatitis,"Bexarotene, Sofosbuvir, "
Tuberculosis,"Emtricitabine Tenofovir, Arformoterol Tartrate, Certolizumab Pegol, Pregabalin, Enalapril Maleate, Bevacizumab, "
Common Cold,"Rivaroxaban, Econazole Nitrate, Alteplase, "
Pneumonia,"Ipilimumab, Clomipramine HCL, Abiraterone Acetate, Albuterol Sulfate, Pemetrexed Disodium, Pregabalin, "
Dimorphic hemmorhoids(piles),"Fluticasone Salmeterol, Alteplase, Duloxetine HCl, Ranibizumab, Ursodiol, "
Heart attack,"Glatiramer Acetate, Bupropion HCl, Bosentan, Aripiprazole, "
Varicose veins,"Alteplase, Pregabalin, Esomeprazole Magnesium, Emtricitabine Tenofovir, Cyanocobalamin (Vitamin B-12), Propranolol HCl, "
Hypothyroidism,"Glatiramer Acetate, Cyanocobalamin (Vitamin B-12), Divalproex Sodium, Emtricitabine Tenofovir, Ibrutinib, "
Hyperthyroidism,"Mitomycin, Natalizumab, Enzalutamide, Captopril, Ambrisentan, "
Hypoglycemia,"Aripiprazole, Sitagliptin Phosphate, Octreotide Acetate, Digoxin, Prednisolone Acetate, Chlorpromazine HCl, "
Osteoarthristis,"Metformin HCl, Emtricitabine Tenofovir, Everolimus, Ledipasvir Sofosbuvir, "
Arthritis,"Immun Glob G (IGG) Gly Iga 50+, Treprostinil Sodium, Pneumococcal 13-Valent Vaccine, "
(vertigo) Paroymsal  Positional Vertigo,"Carfilzomib, Treprostinil Sodium, Gemcitabine HCl, Azacitidine, "
Acne,"Everolimus, Glucagon,human Recombinant, Gemcitabine HCl, Doxazosin Mesylate, Abatacept Abatacept Maltose, Dimethyl Fumarate, "
Urinary tract infection,"Ranibizumab, Darbepoetin Alfa In Polysorbat, Adalimumab, Immun Glob G(IGG) Pro Iga 0-50, Ambrisentan, Duloxetine HCl, "
Psoriasis,"Formoterol Fumarate, Darunavir Ethanolate, Omalizumab, Ledipasvir Sofosbuvir, Cetuximab, "
Impetigo,"Simeprevir Sodium, Methylprednisolone Acetate (80 mg), Natalizumab, Rituximab, Cyanocobalamin (Vitamin B-12), "
Panic disorder,"Rosuvastatin Calcium, Abiraterone Acetate, Ursodiol, Formoterol Fumarate, Glatiramer Acetate, "
Vocal cord polyp,"Captopril, Octreotide Acetate,mi-Spheres, Sofosbuvir, "
Turner syndrome,"Corticotropin, Cetuximab, Rosuvastatin Calcium, Capecitabine, "
Cryptorchidism,"Aripiprazole, Adalimumab, Rivaroxaban, Octreotide Acetate,mi-Spheres, Bupropion HCl, "
Poisoning due to ethylene glycol,"Imatinib Mesylate, Everolimus, Arformoterol Tartrate, "
Atrophic vaginitis,"Hydroxychloroquine Sulfate, Corticotropin, "
Fracture of the hand,"Omalizumab, Azacitidine, Rivaroxaban, Abiraterone Acetate, Ledipasvir Sofosbuvir, Bexarotene, "
Cellulitis or abscess of mouth,"Octreotide Acetate,mi-Spheres, Capecitabine, "
Eye alignment disorder,"Divalproex Sodium, Esomeprazole Magnesium, Denosumab, Thyrotropin Alfa, Rosuvastatin Calcium, Enzalutamide, "
Headache after lumbar puncture,"Abatacept Abatacept Maltose, Econazole Nitrate, Formoterol Fumarate, Captopril, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Pyloric stenosis,"Duloxetine HCl, Erlotinib HCl, Lenalidomide, Everolimus, "
Salivary gland disorder,"Fluticasone Salmeterol, Glucagon,human Recombinant, Trastuzumab, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Osteochondrosis,"Darunavir Ethanolate, Efavirenz Emtricitab Tenofovir, Thyrotropin Alfa, "
Injury to the knee,"Bortezomib, Octreotide Acetate,mi-Spheres, Rituximab, "
Metabolic disorder,"Cetuximab, Captopril, "
Vaginitis,"Econazole Nitrate, Prednisolone Acetate, Arformoterol Tartrate, Fluticasone Salmeterol, Pneumococcal 13-Valent Vaccine, "
Sick sinus syndrome,"Digoxin, Cyanocobalamin (Vitamin B-12), Rivaroxaban, "
Tinnitus of unknown cause,"Denosumab, Captopril, Ibrutinib, Insulin Glargine,Hum.Rec.Anlog, "
Glaucoma,"Sofosbuvir, Ambrisentan, Adalimumab, Imatinib Mesylate, Bendamustine HCl, Rituximab, "
