Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,nan,nan,nan,nan,nan,nan,nan
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,nan,nan,nan,nan,nan,nan,nan,nan
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,nan,nan,nan,nan,nan,nan,nan,nan,nan
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,nan,nan,nan,nan,nan,nan
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,nan,nan,nan,nan
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,nan,nan,nan,nan,nan,nan,nan
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain,nan,nan,nan,nan,nan,nan
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections,nan,nan,nan,nan,nan
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, family_history,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,nan,nan,nan,nan,nan,nan,nan,nan
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding,nan,nan,nan,nan,nan
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,nan
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum,nan,nan,nan,nan,nan,nan,nan
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Heart attack, vomiting, breathlessness, sweating, chest_pain,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,nan,nan,nan,nan
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,nan,nan,nan,nan,nan,nan
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations,nan,nan,nan,nan,nan,nan
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Acne, skin_rash, pus_filled_pimples, blackheads, scurring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Panic disorder,Anxiety and nervousness,Depression,Shortness of breath,Depressive or psychotic symptoms,Sharp chest pain,Dizziness,Insomnia,Abnormal involuntary movements,Chest tightness,Palpitations,Irregular heartbeat,Breathing fast
Vocal cord polyp,Hoarse voice,Sore throat,Difficulty speaking,Cough,Nasal congestion,Throat swelling,Diminished hearing,Lump in throat,Throat feels tight,Difficulty in swallowing,Skin swelling,Retention of urine
Turner syndrome,Groin mass,Leg pain,Hip pain,Suprapubic pain,Blood in stool,Lack of growth,Diminished hearing,Depression,Emotional symptoms,Elbow weakness,Back weakness,Pus in sputum
Cryptorchidism,Symptoms of the scrotum and testes,Swelling of scrotum,Pain in testicles,Flatulence,Pus draining from ear,Jaundice,Mass in scrotum,Lack of growth,White discharge from eye,Irritable infant
Poisoning due to ethylene glycol,Abusing alcohol,Fainting,Hostile behavior,Drug abuse,Depressive or psychotic symptoms,Sharp abdominal pain,Feeling ill,Vomiting,Headache,Depression,Nausea,Diarrhea
Atrophic vaginitis,Vaginal itching,Vaginal dryness,Painful urination,Involuntary urination,Pain during intercourse,Frequent urination,Lower abdominal pain,Suprapubic pain,Vaginal discharge,Blood in urine,Hot flashes,Intermenstrual bleeding
Fracture of the hand,Hand or finger pain,Wrist pain,Hand or finger swelling,Arm pain,Wrist swelling,Arm stiffness or tightness,Arm swelling,Hand or finger stiffness or tightness,Wrist stiffness or tightness
Cellulitis or abscess of mouth,Lip swelling,Sore throat,Toothache,Abnormal appearing skin,Skin lesion,Difficulty in swallowing,Acne or pimples,Dry lips,Facial pain,Mouth ulcer,Throat swelling,Skin growth
Eye alignment disorder,Eye deviation,Diminished vision,Double vision,Cross-eyed,Symptoms of eye,Pain in eye,Eye moves abnormally,Abnormal movement of eyelid,Foreign body sensation in eye,Lack of growth,Irregular appearing scalp,Swollen lymph nodes
Headache after lumbar puncture,Headache,Nausea,Back pain,Vomiting,Dizziness,Neck pain,Low back pain,Pain of the anus,Pain during pregnancy,Painful urination,Pelvic pain,Impotence
Pyloric stenosis,Vomiting,Sharp abdominal pain,Infant spitting up,Vomiting blood,Cough,Arm stiffness or tightness,Regurgitation,Burning abdominal pain,Restlessness,Pain during pregnancy,Symptoms of infants,Wheezing
Salivary gland disorder,Sore throat,Peripheral edema,Neck mass,Ear pain,Swollen lymph nodes,Throat feels tight,Facial pain,Skin swelling,Jaw swelling,Cough,Mouth dryness,Neck swelling
Osteochondrosis,Knee pain,Foot or toe pain,Bowlegged or knock-kneed,Ankle pain,Bones are painful,Knee weakness,Hand or finger pain,Elbow pain,Knee swelling,Skin moles,Knee lump or mass,Weight gain
Injury to the knee,Knee pain,Knee swelling,Leg pain,Problems with movement,Knee stiffness or tightness,Leg swelling,Knee weakness,Foot or toe swelling,Heartburn,Smoking problems
Metabolic disorder,Weight gain,Jaundice,Mouth dryness,Muscle pain,Smoking problems,Infant feeding problem,Recent weight loss,Problems with shape or size of breast,Arm stiffness or tightness,Underweight,Difficulty eating,Scanty menstrual flow
Vaginitis,Vaginal discharge,Vaginal itching,Sharp abdominal pain,Painful urination,Vaginal pain,Lower abdominal pain,Pelvic pain,Vaginal redness,Suprapubic pain,Pain during pregnancy,Vulvar irritation,Pain during intercourse
Sick sinus syndrome,Dizziness,Sharp chest pain,Shortness of breath,Palpitations,Fainting,Weakness,Irregular heartbeat,Decreased heart rate,Increased heart rate,Bleeding or discharge from nipple
Tinnitus of unknown cause,Ringing in ear,Diminished hearing,Dizziness,Ear pain,Headache,Plugged feeling in ear,Itchy ear(s),Frontal headache,Symptoms of eye,Hoarse voice,Fluid in ear,Neck stiffness or tightness
Glaucoma,Diminished vision,Pain in eye,Symptoms of eye,Spots or clouds in vision,Eye redness,Lacrimation,Itchiness of eye,Blindness,Eye burns or stings,Foreign body sensation in eye,Itchy eyelid,Feeling cold
Eating disorder,Depression,Anxiety and nervousness,Depressive or psychotic symptoms,Decreased appetite,Abusing alcohol,Excessive appetite,Difficulty eating,Weight gain,Excessive anger,Insomnia,Vomiting blood,Acne or pimples
Transient ischemic attack,Loss of sensation,Dizziness,Headache,Weakness,Focal weakness,Slurring words,Difficulty speaking,Symptoms of the face,Depressive or psychotic symptoms,Diminished vision,Disturbance of memory,Paresthesia
Pyelonephritis,Side pain,Fever,Sharp abdominal pain,Back pain,Vomiting,Nausea,Painful urination,Low back pain,Lower abdominal pain,Blood in urine,Suprapubic pain,Frequent urination
Rotator cuff injury,Shoulder pain,Arm pain,Shoulder stiffness or tightness,Shoulder weakness,Arm cramps or spasms,Arm stiffness or tightness,Neck stiffness or tightness,Hand or finger stiffness or tightness,Shoulder swelling,Tongue lesions,Leg cramps or spasms,Abnormal appearing tongue
Chronic pain disorder,Back pain,Low back pain,Ache all over,Leg pain,Neck pain,Headache,Sharp abdominal pain,Shoulder pain,Knee pain,Hip pain,Pelvic pain,Lower body pain
Problem during pregnancy,Sharp abdominal pain,Pain during pregnancy,Problems during pregnancy,Lower abdominal pain,Spotting or bleeding during pregnancy,Nausea,Headache,Back pain,Vomiting,Burning abdominal pain,Pelvic pain,Cramps and spasms
Liver cancer,Sharp abdominal pain,Upper abdominal pain,Stomach bloating,Changes in stool appearance,Decreased appetite,Unusual color or odor to urine,Increased heart rate,Kidney mass,Swollen abdomen,Symptoms of prostate,Leg stiffness or tightness,Groin mass
Atelectasis,Cough,Shortness of breath,Sharp chest pain,Fever,Nasal congestion,Dizziness,Sore throat,Sharp abdominal pain,Difficulty breathing,Rib pain,Ache all over,Headache
Injury to the hand,Hand or finger pain,Hand or finger swelling,Wrist pain,Hand or finger stiffness or tightness,Joint pain,Skin growth,Muscle stiffness or tightness,Pallor,Focal weakness,Symptoms of the face,Wrist swelling,Hand or finger lump or mass
Choledocholithiasis,Sharp abdominal pain,Upper abdominal pain,Vomiting,Nausea,Sharp chest pain,Back pain,Diarrhea,Jaundice,Side pain,Chills,Unusual color or odor to urine,Decreased appetite
Injury to the hip,Hip pain,Leg pain,Neck pain,Groin pain,Lower body pain,Hand or finger swelling,Peripheral edema,Leg swelling,Problems with movement
Cirrhosis,Sharp abdominal pain,Shortness of breath,Peripheral edema,Fatigue,Upper abdominal pain,Abdominal distention,Stomach bloating,Blood in stool,Regurgitation,Symptoms of the kidneys,Vomiting blood,Melena
Thoracic aortic aneurysm,Sharp chest pain,Dizziness,Back pain,Shortness of breath,Sharp abdominal pain,Fatigue,Chest tightness,Unusual color or odor to urine,Flushing,Leg cramps or spasms,Coughing up sputum,Jaundice
Subdural hemorrhage,Headache,Dizziness,Problems with movement,Depressive or psychotic symptoms,Seizures,Vomiting,Facial pain,Disturbance of memory,Irritable infant,Abnormal movement of eyelid,Hostile behavior,Delusions or hallucinations
Congenital rubella,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Diabetic retinopathy,Diminished vision,Spots or clouds in vision,Pain in eye,Lacrimation,Symptoms of eye,Eye redness,Foreign body sensation in eye,Itchiness of eye,Blindness,Bleeding from eye,Abnormal movement of eyelid,Double vision
