Code,Disease,symptoms
105,Panic disorder,[{symptoms:Anxiety and nervousness}{symptoms:88}{symptoms:Depression}{symptoms:55}{symptoms:Shortness of breath}{symptoms:40}{symptoms:Depressive or psychotic symptoms}{symptoms:33}{symptoms:Sharp chest pain}{symptoms:33}{symptoms:Dizziness}{symptoms:24}{symptoms:Insomnia}{symptoms:18}{symptoms:Abnormal involuntary movements}{symptoms:16}{symptoms:Chest tightness}{symptoms:14}{symptoms:Palpitations}{symptoms:13}{symptoms:Irregular heartbeat}{symptoms:11}{symptoms:Breathing fast}{symptoms:10} Panic disorder
106,Vocal cord polyp,[{symptoms:Hoarse voice}{symptoms:91}{symptoms:Sore throat}{symptoms:47}{symptoms:Difficulty speaking}{symptoms:27}{symptoms:Cough}{symptoms:27}{symptoms:Nasal congestion}{symptoms:27}{symptoms:Throat swelling}{symptoms:19}{symptoms:Diminished hearing}{symptoms:19}{symptoms:Lump in throat}{symptoms:19}{symptoms:Throat feels tight}{symptoms:11}{symptoms:Difficulty in swallowing}{symptoms:11}{symptoms:Skin swelling}{symptoms:11}{symptoms:Retention of urine}{symptoms:11} Vocal cord polyp
107,Turner syndrome,[{symptoms:Groin mass}{symptoms:27}{symptoms:Leg pain}{symptoms:27}{symptoms:Hip pain}{symptoms:27}{symptoms:Suprapubic pain}{symptoms:27}{symptoms:Blood in stool}{symptoms:27}{symptoms:Lack of growth}{symptoms:27}{symptoms:Diminished hearing}{symptoms:27}{symptoms:Depression}{symptoms:27}{symptoms:Emotional symptoms}{symptoms:2}{symptoms:Elbow weakness}{symptoms:2}{symptoms:Back weakness}{symptoms:2}{symptoms:Pus in sputum}{symptoms:2} Turner syndrome
108,Cryptorchidism,[{symptoms:Symptoms of the scrotum and testes}{symptoms:50}{symptoms:Swelling of scrotum}{symptoms:16}{symptoms:Pain in testicles}{symptoms:9}{symptoms:Flatulence}{symptoms:9}{symptoms:Pus draining from ear}{symptoms:9}{symptoms:Jaundice}{symptoms:9}{symptoms:Mass in scrotum}{symptoms:9}{symptoms:Lack of growth}{symptoms:9}{symptoms:White discharge from eye}{symptoms:9}{symptoms:Irritable infant}{symptoms:9} Cryptorchidism
109,Poisoning due to ethylene glycol,[{symptoms:Abusing alcohol}{symptoms:78}{symptoms:Fainting}{symptoms:64}{symptoms:Hostile behavior}{symptoms:45}{symptoms:Drug abuse}{symptoms:45}{symptoms:Depressive or psychotic symptoms}{symptoms:45}{symptoms:Sharp abdominal pain}{symptoms:29}{symptoms:Feeling ill}{symptoms:29}{symptoms:Vomiting}{symptoms:29}{symptoms:Headache}{symptoms:29}{symptoms:Depression}{symptoms:29}{symptoms:Nausea}{symptoms:29}{symptoms:Diarrhea}{symptoms:29} Poisoning due to ethylene glycol
110,Atrophic vaginitis,[{symptoms:Vaginal itching}{symptoms:45}{symptoms:Vaginal dryness}{symptoms:45}{symptoms:Painful urination}{symptoms:40}{symptoms:Involuntary urination}{symptoms:36}{symptoms:Pain during intercourse}{symptoms:31}{symptoms:Frequent urination}{symptoms:25}{symptoms:Lower abdominal pain}{symptoms:22}{symptoms:Suprapubic pain}{symptoms:22}{symptoms:Vaginal discharge}{symptoms:18}{symptoms:Blood in urine}{symptoms:14}{symptoms:Hot flashes}{symptoms:14}{symptoms:Intermenstrual bleeding}{symptoms:14} Atrophic vaginitis
111,Fracture of the hand,[{symptoms:Hand or finger pain}{symptoms:71}{symptoms:Wrist pain}{symptoms:67}{symptoms:Hand or finger swelling}{symptoms:39}{symptoms:Arm pain}{symptoms:23}{symptoms:Wrist swelling}{symptoms:12}{symptoms:Arm stiffness or tightness}{symptoms:4}{symptoms:Arm swelling}{symptoms:4}{symptoms:Hand or finger stiffness or tightness}{symptoms:3}{symptoms:Wrist stiffness or tightness}{symptoms:2} Fracture of the hand
112,Cellulitis or abscess of mouth,[{symptoms:Lip swelling}{symptoms:87}{symptoms:Sore throat}{symptoms:42}{symptoms:Toothache}{symptoms:40}{symptoms:Abnormal appearing skin}{symptoms:26}{symptoms:Skin lesion}{symptoms:26}{symptoms:Difficulty in swallowing}{symptoms:23}{symptoms:Acne or pimples}{symptoms:19}{symptoms:Dry lips}{symptoms:19}{symptoms:Facial pain}{symptoms:19}{symptoms:Mouth ulcer}{symptoms:19}{symptoms:Throat swelling}{symptoms:19}{symptoms:Skin growth}{symptoms:15} Cellulitis or abscess of mouth
25,Eye alignment disorder,[{symptoms:Eye deviation}{symptoms:41}{symptoms:Diminished vision}{symptoms:39}{symptoms:Double vision}{symptoms:36}{symptoms:Cross-eyed}{symptoms:35}{symptoms:Symptoms of eye}{symptoms:28}{symptoms:Pain in eye}{symptoms:14}{symptoms:Eye moves abnormally}{symptoms:11}{symptoms:Abnormal movement of eyelid}{symptoms:6}{symptoms:Foreign body sensation in eye}{symptoms:6}{symptoms:Lack of growth}{symptoms:6}{symptoms:Irregular appearing scalp}{symptoms:3}{symptoms:Swollen lymph nodes}{symptoms:3} Eye alignment disorder
26,Headache after lumbar puncture,[{symptoms:Headache}{symptoms:98}{symptoms:Nausea}{symptoms:65}{symptoms:Back pain}{symptoms:65}{symptoms:Vomiting}{symptoms:56}{symptoms:Dizziness}{symptoms:47}{symptoms:Neck pain}{symptoms:34}{symptoms:Low back pain}{symptoms:25}{symptoms:Pain of the anus}{symptoms:14}{symptoms:Pain during pregnancy}{symptoms:14}{symptoms:Painful urination}{symptoms:14}{symptoms:Pelvic pain}{symptoms:14}{symptoms:Impotence}{symptoms:14} Headache after lumbar puncture
